@relation steam_transactions

@attribute steamid string
@attribute apps string

@data
"7.656119796440504e+16","{18820}"
"7.656119796441144e+16","{282680}"
"7.656119796441416e+16","{2967320}"
"7.65611979644158e+16","{293780}"
"7.656119796443594e+16","{329110}"
"7.65611979644667e+16","{63640}"
"7.656119796446672e+16","{2842040}"
"7.656119796447115e+16","{274010,3126330}"
"7.656119796448387e+16","{310110}"
"7.656119796448682e+16","{3294930}"
"7.65611979644881e+16","{288470}"
"7.656119796450373e+16","{2959110,2996040}"
"7.656119796451306e+16","{22650,22670}"
"7.656119796451942e+16","{35800,46600,110500}"
"7.656119796457499e+16","{3263320}"
"7.656119796457714e+16","{2816590}"
"7.656119796459523e+16","{58230}"
"7.656119796460363e+16","{2692890}"
"7.656119796460365e+16","{219990}"
"7.65611979646161e+16","{3344750}"
"7.656119796462613e+16","{290300}"
"7.65611979646262e+16","{72900}"
"7.656119796464384e+16","{2938350,3148240}"
"7.656119796465302e+16","{46790}"
"7.65611979646584e+16","{319740}"
"7.65611979646608e+16","{330770}"
"7.656119796466442e+16","{22320}"
"7.65611979646718e+16","{2954150}"
"7.656119796469474e+16","{311690}"
"7.656119796472245e+16","{303800}"
"7.65611979647312e+16","{330270}"
"7.65611979647349e+16","{3237180,3442580}"
"7.65611979647353e+16","{342860}"
"7.656119796475248e+16","{46000}"
"7.656119796476208e+16","{2707090}"
"7.656119796477072e+16","{339400}"
"7.656119796477102e+16","{341730}"
"7.656119796477218e+16","{299360}"
"7.656119796477698e+16","{10680}"
"7.656119796480011e+16","{2420}"
"7.656119796480896e+16","{308460}"
"7.656119796482747e+16","{9880}"
"7.656119796483082e+16","{298790}"
"7.656119796486448e+16","{331470}"
"7.656119796486656e+16","{337820,340560}"
"7.656119796487099e+16","{2789460}"
"7.656119796487186e+16","{326120}"
"7.656119796487213e+16","{65800}"
"7.656119796488901e+16","{313080}"
"7.656119796494606e+16","{1640}"
"7.656119796498189e+16","{282140}"
"7.656119796498246e+16","{333210}"
"7.65611979650045e+16","{11130}"
"7.656119796502157e+16","{319280}"
"7.656119796502622e+16","{286380}"
"7.656119796503043e+16","{7340}"
"7.656119796504242e+16","{3099000}"
"7.656119796504358e+16","{319280}"
"7.656119796506642e+16","{2420,39660}"
"7.656119796507243e+16","{223850}"
"7.65611979650742e+16","{46360}"
"7.656119796508512e+16","{2971610}"
"7.656119796509629e+16","{339400}"
"7.656119796510725e+16","{274480}"
"7.656119796512515e+16","{293460}"
"7.656119796513126e+16","{202410}"
"7.656119796513803e+16","{111100}"
"7.656119796514213e+16","{292000}"
"7.656119796514414e+16","{203560}"
"7.6561197965177e+16","{313120}"
"7.656119796518194e+16","{315080}"
"7.65611979651852e+16","{2720}"
