steamid,app_id
76561197960475409,"[1219240, 2014550]"
76561197960475605,[332880]
76561197960475835,[359960]
76561197960476772,"[1333910, 1454400]"
76561197960477514,[27940]
76561197960477697,[661740]
76561197960478145,"[9980, 19200, 46000, 72900, 202370, 301050]"
76561197960478816,[1176470]
76561197960480678,[657000]
76561197960482063,[4780]
76561197960482733,[1175250]
76561197960484034,[438320]
76561197960485734,[62100]
76561197960485862,[2395910]
76561197960490503,"[1128970, 1366150]"
76561197960491428,[1562700]
76561197960494184,[987210]
76561197960494785,[98800]
76561197960495659,[382260]
76561197960496099,[11020]
76561197960498042,[315830]
76561197960498075,"[330770, 457770, 494960, 597590, 597770, 683000, 718380]"
76561197960501305,[1275600]
76561197960503531,[649790]
76561197960503893,"[3047070, 689620]"
76561197960504317,[416180]
76561197960504699,[370080]
76561197960505093,"[452860, 513690]"
76561197960508020,[2794830]
76561197960509122,[643830]
76561197960509634,"[621010, 1302270]"
76561197960510572,[1380910]
76561197960511337,"[1137330, 1204440, 1357750, 1445980, 1465210, 1752190]"
76561197960511378,[1248420]
76561197960511796,[2021880]
76561197960511798,[1728660]
76561197960512820,[50000]
76561197960513000,[422860]
76561197960515638,[681390]
76561197960515959,"[649580, 1310210]"
76561197960516079,[352580]
76561197960516898,[1887840]
76561197960517394,[1244090]
76561197960517799,[1465360]
76561197960520666,[1004270]
76561197960521312,[3178350]
76561197960521661,"[2922410, 418150]"
76561197960521968,[625910]
76561197960527255,[346550]
76561197960527983,[696810]
76561197960529978,"[313080, 432250]"
76561197960530811,[1289520]
76561197960531009,[1211020]
76561197960531283,"[18600, 110500]"
76561197960532236,[1581440]
76561197960532343,[653530]
76561197960534300,[305760]
76561197960534315,[2023170]
76561197960534803,"[2701660, 566670]"
76561197960535577,[1351900]
76561197960535857,[3720]
76561197960538478,[299360]
76561197960539092,[460910]
76561197960539392,[273110]
76561197960541164,[583240]
76561197960541239,[1775500]
76561197960542281,"[279540, 656210]"
76561197960542388,[1333200]
76561197960542500,[571500]
76561197960542724,[2348400]
76561197960544100,[2756920]
76561197960544990,[1212110]
76561197960545980,[921570]
76561197960546592,"[358260, 358400, 422020, 488580]"
76561197960547079,[1293000]
76561197960547199,[658630]
76561197960548467,[614140]
76561197960550140,[477900]
76561197960550225,[32200]
76561197960550604,[636320]
76561197960551704,[377500]
76561197960554117,"[1155330, 2473480]"
76561197960555820,[325430]
76561197960556850,[739850]
76561197960558217,"[1439030, 1442380, 1453940, 1465500, 1479990, 1519790]"
76561197960558860,"[701810, 1283820]"
76561197960559234,"[1147110, 1204440, 1300390]"
76561197960559357,[611190]
76561197960559735,[1562430]
76561197960561169,[400040]
76561197960565648,[1744640]
76561197960565809,[1542820]
76561197960566283,[1554970]
76561197960567625,[1862420]
76561197960568549,"[374830, 391600]"
76561197960569595,[623380]
76561197960569792,[1380900]
76561197960570844,[1580570]
76561197960571720,[418530]
76561197960572043,[1304420]
76561197960572468,[2008100]
76561197960573473,[2114740]
76561197960576941,[908790]
76561197960577290,[1208220]
76561197960577564,[314830]
76561197960578068,[336700]
76561197960578953,[227300]
76561197960578985,[1680340]
76561197960582634,[679300]
76561197960583962,[623320]
76561197960584450,"[1023550, 2050050]"
76561197960589706,[438430]
76561197960590742,[496490]
76561197960600169,[427520]
76561197960601082,[1714910]
76561197960601748,[575400]
76561197960602906,[50000]
76561197960608020,[681060]
76561197960608560,[1197220]
76561197960608685,[425670]
76561197960611393,[2928520]
76561197960612825,[1561890]
76561197960624972,[1264730]
76561197960625523,[391640]
76561197960625873,[2812240]
76561197960629049,[2475980]
76561197960632483,[29160]
76561197960638036,[408030]
76561197960639814,[332250]
76561197960640136,[1848080]
76561197960642654,"[290000, 324070]"
76561197960643144,[408030]
76561197960648149,[1534840]
76561197960649290,[1965260]
76561197960650771,[407940]
